	FL1-A	FL2-A
V16452	2460	6506
V16453	1637	5302
V16454	2520	2534
V16455	13133	4877
V16456	292	773
V16457	1450	4443
V16458	1940	4661
V16459	2510	4532
V16460	1700	4509
V16461	462034	7290
V16462	2276	6023
V16463	352	836
V16464	2624	3051
V16465	2379	6089
V16466	8354	25256
V16467	1071	4336
V16468	1462	3461
V16469	3018	8416
V16470	1447	2038
V16471	2397	5805
V16472	1788	6732
V16473	1511	3268
V16474	1661	3056
V16475	1116	3413
V16476	1041	7635
V16477	1605	1793
V16478	1705	5537
V16479	1529	5651
V16480	888	3263
V16481	2379	5726
V16482	511	248
V16483	2050	5107
V16484	3815	9496
V16485	10766	4142
V16486	2678	6567
V16487	261	576
V16488	1272	3460
V16489	2013	5482
V16490	1675	2428
V16491	707	1281
V16492	2000	6370
V16493	1504	5073
V16494	1671	4900
V16495	2260	6179
V16496	5259	10642
V16497	2819	7338
V16498	2119	5148
V16499	2179	12010
V16500	1652	4640
V16501	5666	15687
V16502	64	506
V16503	2438	5626
V16504	2730	6746
V16505	1232	6512
V16506	4890	4065
V16507	712	1006
V16508	1979	4509
V16509	1852	6145
V16510	531	504
V16511	309258	7210
V16512	111572	4036
V16513	665	301
V16514	177	655
V16515	3177	7162
V16516	1584	4354
V16517	1513	2973
V16518	2132	5859
V16519	8280	28992
V16520	2148	7054
V16521	2264	3472
V16522	158	53
V16523	3233	7226
V16524	1876	4927
V16525	6215	7182
V16526	15444	9749
V16527	2158	4844
V16528	569	1248
V16529	2014	6044
V16530	2920	3124
V16531	3081	4543
V16532	2298	5856
V16533	1782	2869
V16534	114	899
V16535	1446	4602
V16536	1934	7274
V16537	1387	5665
V16538	2339	6183
V16539	2290	6210
V16540	5477	2971
V16541	2082	7657
V16542	1471	5017
V16543	1653	4975
V16544	2270	5337
V16545	3257	6812
V16546	1983	880
V16547	79491	4225
V16548	1659	5078
V16549	2121	5397
V16550	7264	27214
V16551	2523	6560
V16552	1930	4583
V16553	1644	6028
V16554	1660	3897
V16555	101	257
V16556	2115	6391
V16557	2021	3958
V16558	144	52
V16559	1893	6998
V16560	2506	6879
V16561	2492	4963
V16562	1406	3797
V16563	1822	5120
V16564	2004	3518
V16565	986	1128
V16566	1776	5526
V16567	1232	2911
V16568	2146	5377
V16569	2907	4321
V16570	2421	5736
V16571	385494	9128
V16572	1924	5136
V16573	664	524
V16574	207515	5524
V16575	2257	5814
V16576	1542	3709
V16577	1895	6097
V16578	1588	3784
V16579	2984	6314
V16580	2179	6238
V16581	520	384
V16582	2376	8291
V16583	196	191
V16584	1340	3605
V16585	1258	8425
V16586	2796	8873
V16587	2125	6356
V16588	1736	5230
V16589	2961	6396
V16590	263	164
V16591	2313	6121
V16592	1127	2802
V16593	1774	6527
V16594	1434	3694
V16595	1914	5562
V16596	3348	5974
V16597	2278	7491
V16598	1253	5759
V16599	2291	5785
V16600	232175	6398
V16601	2395	4931
V16602	2700	7324
V16603	1034	584
V16604	383	978
V16605	2259	5400
V16606	29209	4342
V16607	2169	4781
V16608	2123	6785
V16609	573	151
V16610	1839	3470
V16611	5681	3035
V16612	1331	3467
V16613	6346	20039
V16614	1451	3886
V16615	1888	5043
V16616	1450	5119
V16617	2619	5751
V16618	2420	7036
V16619	405	305
V16620	13087	11361
V16621	1470	6677
V16622	4519	8778
V16623	20391	2387
V16624	566	916
V16625	1557	4151
V16626	3136	5278
V16627	4174	11528
V16628	1448	5471
V16629	117	456
V16630	1607	3948
V16631	1986	4405
V16632	1623	5063
V16633	1280	4051
V16634	343	661
V16635	378803	7103
V16636	2084	5925
V16637	1637	4787
V16638	2097	4880
V16639	1722	5307
V16640	920	790
V16641	2275	4969
V16642	2419	7223
V16643	1585	2933
V16644	2386	4106
V16645	1405	4362
V16646	2772	7661
V16647	1764	5944
V16648	42	548
V16649	1860	4166
V16650	5788	7874
V16651	1342	4663
V16652	1940	6499
V16653	1718	4708
V16654	249	565
V16655	2184	5543
V16656	1527	4521
V16657	2731	6984
V16658	1093	3025
V16659	1292	4087
V16660	2305	2054
V16661	1779	3441
V16662	1767	4744
V16663	1353	4895
V16664	8228	4478
V16665	2696	5600
V16666	204	54
V16667	1446	4219
V16668	1520	3619
V16669	1174	3255
V16670	3161	6833
V16671	2185	5172
V16672	210066	4284
V16673	2436	5128
V16674	1801	5635
V16675	9431	26511
V16676	2298	6220
V16677	2758	6649
V16678	2290	5944
V16679	767	4473
V16680	1583	5276
V16681	1208	4181
V16682	1488	4242
V16683	1852	5274
V16684	2677	8490
V16685	1386	3188
V16686	2536	4885
V16687	1179	4720
V16688	1685	4669
V16689	617	2804
V16690	3073	5370
V16691	3054	3942
V16692	2102	5414
V16693	1706	5007
V16694	2753	6499
V16695	2377	7213
V16696	1825	5064
V16697	1715	4919
V16698	2149	5560
V16699	863	761
V16700	1857	4357
V16701	1774	4144
V16702	1775	4929
V16703	2927	4421
V16704	2130	5302
V16705	2653	8397
V16706	256664	7042
V16707	2997	8334
V16708	2180	6254
V16709	1456	3373
V16710	12068	2679
V16711	1125	4913
V16712	99	493
V16713	2078	6260
V16714	24106	3899
V16715	1509	4394
V16716	1438	4083
V16717	1611	3364
V16718	1193	4498
V16719	2189	3017
V16720	2800	6660
V16721	2623	6270
V16722	5592	5387
V16723	1055	3522
V16724	1284	4355
V16725	2121	5782
V16726	1706	5184
V16727	1253	7934
V16728	1752	9856
V16729	973	5544
V16730	2751	7885
V16731	1819	4353
V16732	2132	6310
V16733	4866	12887
V16734	2964	6619
V16735	2824	5686
V16736	1996	3864
V16737	1802	2080
V16738	2814	4305
V16739	1684	4296
V16740	211	146
V16741	2668	4416
V16742	9767	22126
V16743	15769	3006
V16744	1935	4910
V16745	1493	4446
V16746	2633	6190
V16747	1773	5376
V16748	1563	3600
V16749	166	2393
V16750	4270	9142
V16751	2013	6400
V16752	1835	4652
V16753	1481	4014
V16754	4746	11219
V16755	436	181
V16756	1229	2188
V16757	4679	8037
V16758	1823	4190
V16759	2518	5226
V16760	1612	4786
V16761	1436	4880
V16762	1710	4731
V16763	2275	6716
V16764	1308	3059
V16765	631	441
V16766	3181	7951
V16767	321426	5813
V16768	1837	3822
V16769	593	768
V16770	408	376
V16771	2465	6142
V16772	357	398
V16773	1609	1392
V16774	8092	4675
V16775	2509	5936
V16776	4205	2711
V16777	2528	6977
V16778	2338	5395
V16779	2936	6995
V16780	162	889
V16781	1329	4449
V16782	2066	6636
V16783	2490	5149
V16784	492	543
V16785	1589	5051
V16786	1857	4573
V16787	1516	3650
V16788	1284	4174
V16789	1131	3554
V16790	3712	2562
V16791	1758	4834
V16792	285	260
V16793	1207	4781
V16794	1873	3950
V16795	1801	4811
V16796	1258	7561
V16797	764	8749
V16798	2271	5561
V16799	1474	3780
V16800	2120	5305
V16801	5252	13894
V16802	2185	8298
V16803	1981	5825
V16804	901	874
V16805	2164	6450
V16806	31429	2935
V16807	63279	4500
V16808	1422	3852
V16809	1835	4239
V16810	1987	5238
V16811	956	2914
V16812	2064	4532
V16813	1073	3260
V16814	1538	4709
V16815	1002	2811
V16816	2110	6382
V16817	1253	4122
V16818	14394	4793
V16819	1466	3776
V16820	473	590
V16821	1042	4838
V16822	1092	1458
V16823	1268	4714
V16824	1713	5684
V16825	2926	8124
V16826	129	153
V16827	1525	3975
V16828	1868	5518
V16829	1301	3942
V16830	1576	3630
V16831	1291	3159
V16832	38020	2748
V16833	977	3419
V16834	2410	6683
V16835	1749	5075
V16836	1158	2764
V16837	864	4820
V16838	2378	5910
V16839	2510	5482
V16840	564	790
V16841	1502	3737
V16842	1518	5310
V16843	5637	6416
V16844	53	104
V16845	1436	5453
V16846	1221	3157
V16847	923	6920
V16848	1288	4142
V16849	1448	4572
V16850	3477	5654
V16851	1871	5480
V16852	1073	3900
V16853	1790	5800
V16854	2150	6103
V16855	188	418
V16856	1796	4140
V16857	1581	4953
V16858	494950	8114
V16859	3903	5253
V16860	646	640
V16861	3192	7207
V16862	2029	5235
V16863	1988	5673
V16864	2292	6092
V16865	2054	7080
V16866	2917	4939
V16867	1329	3366
V16868	1338	3434
V16869	1335	3822
V16870	3559	3454
V16871	2654	4110
V16872	2298	7385
V16873	1439	4959
V16874	2043	5513
V16875	136	178
V16876	2113	6590
V16877	1585	5774
V16878	1595	3282
V16879	3035	5711
V16880	2218	5968
V16881	2605	5647
V16882	355	542
V16883	1710	5125
V16884	1401	4462
V16885	3280	9182
V16886	3762	5623
V16887	3012	7104
V16888	2777	5741
V16889	1068	3988
V16890	143083	2461
V16891	3697	9064
V16892	2549	8087
V16893	1813	3509
V16894	1499	4689
V16895	2048	3492
V16896	236	1196
V16897	1541	3551
V16898	1820	6731
V16899	1298	5616
V16900	2075	4556
V16901	1720	5627
V16902	1785	3598
V16903	588053	25882
V16904	2205	6647
V16905	1514	3642
V16906	359	552
V16907	2294	6126
V16908	4406	9916
V16909	1641	3468
V16910	1544	4652
V16911	1400	4313
V16912	2501	5342
V16913	1535	4033
V16914	1835	4997
V16915	2008	6667
V16916	2466	7313
V16917	2482	5452
V16918	1282	3129
V16919	3670	9309
V16920	1165	4159
V16921	1803	5059
V16922	248382	4931
V16923	2440	5838
V16924	1155	3833
V16925	1675	4755
V16926	1277	5296
V16927	4260	3848
V16928	3202	8627
V16929	2487	6370
V16930	2115	5144
V16931	1287	5768
V16932	1397	6759
V16933	2217	5976
V16934	2844	4530
V16935	1577	7468
V16936	1275	5272
V16937	1323	3900
V16938	24	154
V16939	180	5129
V16940	1978	5502
V16941	996	2392
V16942	3425	5174
V16943	1405	3071
V16944	3050	5243
V16945	1923	4884
V16946	2989	8782
V16947	1151	4154
V16948	1303	3361
V16949	2575	6756
V16950	4847	6657
V16951	1294	2826
V16952	1792	4269
V16953	2624	4269
V16954	2115	3302
V16955	1023	3506
V16956	1912	5472
V16957	312	442
V16958	3185	7985
V16959	179	384
V16960	1960	5313
V16961	2437	6275
V16962	2074	5440
V16963	1820	4952
V16964	2807	5424
V16965	1675	4878
V16966	1775	4362
V16967	1525	6100
V16968	2842	8884
V16969	6242	4162
V16970	277234	4921
V16971	1651	4991
V16972	1754	4302
V16973	1557	3659
V16974	1627	5423
V16975	2230	6985
V16976	3007	5164
V16977	1522	3834
V16978	1291	2681
V16979	1799	3262
V16980	2571	4798
V16981	2756	4656
V16982	2565	6332
V16983	10997	5369
V16984	1147	4556
V16985	2099	5245
V16986	2174	5544
V16987	3557	6531
V16988	4626	2495
V16989	1885	4330
V16990	2052	4893
V16991	3319	8636
V16992	1402	4632
V16993	1809	5438
V16994	1649	5233
V16995	130442	3433
V16996	1298	4616
V16997	2141	7384
V16998	443543	9529
V16999	2024	404
V17000	1960	6717
V17001	2319	4734
V17002	4011	2905
V17003	2138	4830
V17004	1689	5541
V17005	2281	6900
V17006	2151	5575
V17007	4156	9872
V17008	1698	4903
V17009	1321	4377
V17010	1589	5353
V17011	1861	4886
V17012	2216	6048
V17013	1983	4444
V17014	2004	3990
V17015	1204	4255
V17016	173660	10671
V17017	7714	6133
V17018	1201	5988
V17019	6644	5801
V17020	2007	6224
V17021	6229	1629
V17022	901168	38982
V17023	2251	5827
V17024	1654	4888
V17025	1284	4625
V17026	2187	5217
V17027	2641	6360
V17028	3227	8465
V17029	1915	4885
V17030	1879	5673
V17031	558	568
V17032	98	270
V17033	3099	5956
V17034	1591	4664
V17035	1588	5174
V17036	573006	8756
V17037	5855	4428
V17038	299	943
V17039	1436	3066
V17040	1884	6210
V17041	2169	5528
V17042	1667	4965
V17043	1710	3604
V17044	1165	3483
V17045	1722	5624
V17046	1051	2975
V17047	668	1441
V17048	1516	3337
V17049	1861	4716
V17050	1970	5477
V17051	1772	5265
V17052	1527	4361
V17053	1285	2028
V17054	2258	5730
V17055	124301	3803
V17056	253	83
V17057	2258	6567
V17058	375	444
V17059	1377	3938
V17060	1911	5681
V17061	1695	5440
V17062	1059	3668
V17063	1929	4531
V17064	2211	2228
V17065	357726	7444
V17066	1165	4852
V17067	73572	2302
V17068	497	378
V17069	1507	4982
V17070	1755	4450
V17071	1264	4737
V17072	2056	5501
V17073	1179	1497
V17074	2853	3264
V17075	865	851
V17076	1191	4574
V17077	1835	4511
V17078	593	428
V17079	2149	5212
V17080	1722	4466
V17081	2126	6236
V17082	986	3190
V17083	196	438
V17084	2322	5658
V17085	1956	6148
V17086	1297	3540
V17087	1277	4221
V17088	1428	5136
V17089	2373	5672
V17090	2218	2609
V17091	14	76
V17092	7	378
V17093	4887	7023
V17094	2128	7520
V17095	912	836
V17096	1311	4241
V17097	713	2932
V17098	5665	5770
V17099	1194	576
V17100	3003	7146
V17101	1728	3906
V17102	1469	3924
V17103	1175	3467
V17104	2361	4883
V17105	2785	6423
V17106	3211	9724
V17107	2365	7367
V17108	1905	4791
V17109	1166	2905
V17110	2376	6944
V17111	1216	3356
V17112	2181	4761
V17113	102616	3583
V17114	2566	4162
V17115	2148	5514
V17116	2287	6240
V17117	1755	5249
V17118	1926	5393
V17119	660	706
V17120	247	72
V17121	1497	5785
V17122	1269	4260
V17123	242	529
V17124	1731	7849
V17125	228060	4106
V17126	1649	5366
V17127	2976	3037
V17128	2101	4261
V17129	1159	2298
V17130	1916	5010
V17131	1215	3788
V17132	3320	4272
V17133	7868	24708
V17134	1424	3901
V17135	185	291
V17136	2317	5257
V17137	14	2137
V17138	1511	4101
V17139	1537	4166
V17140	1774	3857
V17141	2668	6494
V17142	1671	4695
V17143	750	849
V17144	166	206
V17145	284	554
V17146	2194	5946
V17147	1709	4853
V17148	2248	6101
V17149	21131	3600
V17150	1687	4679
V17151	1409	3831
V17152	2538	8424
V17153	1706	5673
V17154	1197	4228
V17155	1487	4618
V17156	2664	8502
V17157	1961	4744
V17158	1641	4637
V17159	1060	3373
V17160	3007	19326
V17161	2104	7282
V17162	1380	4096
V17163	1272	2532
V17164	1314	3106
V17165	1338	6191
V17166	1691	5528
V17167	1979	6297
V17168	1869	5894
V17169	1566	4996
V17170	1830	3871
V17171	851	891
V17172	1276	4189
V17173	2586	5308
V17174	3214	6474
V17175	2573	6615
V17176	230	662
V17177	1225	560
V17178	2625	5604
V17179	1552	2911
V17180	1676	4919
V17181	1961	4516
V17182	166066	5157
V17183	1642	3693
V17184	1954	5343
V17185	1493	5925
V17186	436	664
V17187	237	461
V17188	102612	4473
V17189	1465	2976
V17190	1981	5687
V17191	2335	8241
V17192	330177	5530
V17193	2058	4375
V17194	1487	3797
V17195	2533	6045
V17196	1301	4735
V17197	230	425
V17198	907	2982
V17199	2458	6856
V17200	2004	6628
V17201	1426	4288
V17202	2754	6479
V17203	1383	3330
V17204	1527	4230
V17205	1711	5271
V17206	78	106
V17207	968	3893
V17208	804	2819
V17209	1945	7230
V17210	5670	9324
V17211	1255	4935
V17212	1412	3219
V17213	1689	4124
V17214	1350	4125
V17215	156	1041
V17216	1252	3720
V17217	564	390
V17218	168058	9585
V17219	1597	4458
V17220	1309	4631
V17221	2489	7862
V17222	677916	13707
V17223	280	391
V17224	1252	4169
V17225	1469	4505
V17226	2525	6886
V17227	2506	2815
V17228	2296	5693
V17229	3872	7460
V17230	1361	4704
V17231	1692	5170
V17232	1569	5014
V17233	1799	4566
V17234	2307	4769
V17235	1853	5903
V17236	1650	3769
V17237	40695	7385
V17238	2245	6637
V17239	1433	3572
V17240	1404	4936
V17241	593	2255
V17242	1457	5176
V17243	2309	5402
V17244	423	5681
V17245	58214	3666
V17246	4612	10879
V17247	3513	6812
V17248	1942	5083
V17249	3575	6911
V17250	1325	6227
V17251	206	638
V17252	388	207
V17253	1115	2317
V17254	3727	10818
V17255	1782	5153
V17256	2520	6228
V17257	1680	3051
V17258	5020	4363
V17259	1618	3980
V17260	1042	2963
V17261	1928	4964
V17262	2371	5646
V17263	1619	4244
V17264	2017	4663
V17265	98	912
V17266	889	2007
V17267	2393	6398
V17268	2739	6649
V17269	1064	4373
V17270	1443	6363
V17271	2006	5518
V17272	293738	5417
V17273	1295	3809
V17274	1530	4347
V17275	403	1681
V17276	1587	5420
V17277	1761	4793
V17278	2313	6344
V17279	1953	5132
V17280	2067	6154
V17281	1756	4339
V17282	2039	4729
V17283	1411	6066
V17284	8639	3512
V17285	1633	4750
V17286	947	833
V17287	2251	5628
V17288	2811	5692
V17289	880	945
V17290	2236	6491
V17291	4951	3459
V17292	1972	3100
V17293	68162	7990
V17294	76	252
V17295	1754	6469
V17296	1159	6094
V17297	1865	4540
V17298	1855	5656
V17299	1821	4016
V17300	1861	4366
V17301	295	1027
V17302	2047	5882
V17303	2120	5874
V17304	3928	9747
V17305	588	486
V17306	2374	7607
V17307	2062	4985
V17308	1623	2966
V17309	1683	4715
V17310	2036	5985
V17311	2513	6976
V17312	3565	7782
V17313	3288	6593
V17314	3351	3436
V17315	1115	3537
V17316	1406	5004
V17317	52802	2831
V17318	1657	4683
V17319	2261	6539
V17320	1663	5018
V17321	1443	5062
V17322	1514	3767
V17323	2018	7494
V17324	176653	4724
V17325	1891	5489
V17326	216	375
V17327	1523	5519
V17328	3529	6186
V17329	3029	7380
V17330	1245	2564
V17331	2480	4792
V17332	1842	5333
V17333	2050	4377
V17334	1206	3319
V17335	1100	4074
V17336	2645	6938
V17337	3807	4207
V17338	1936	5006
V17339	1684	4150
V17340	78985	1754
V17341	2476	6150
V17342	2094	5483
V17343	57095	3620
V17344	3487	7484
V17345	2057	4518
V17346	738	2065
V17347	208166	4568
V17348	27350	4310
V17349	4123	9449
V17350	1584	5266
V17351	1122	4124
V17352	1775	5172
V17353	1541	18370
V17354	1519	4105
V17355	2148	6464
V17356	1370	3759
V17357	2646	7035
V17358	5693	27231
V17359	2087	5738
V17360	2433	6582
V17361	2565	1369
V17362	968	3561
V17363	3425	9155
V17364	3445	3099
V17365	3635	6232
V17366	1635	5036
V17367	3008	3998
V17368	9421	8780
V17369	20496	4643
V17370	1295	3907
V17371	2324	6387
V17372	1430	5301
V17373	1624	5487
V17374	1771	4366
V17375	2534	5542
V17376	1397	4808
V17377	2160	8154
V17378	10634	4038
V17379	2891	3332
V17380	2318	5175
V17381	2025	5755
V17382	1808	5608
V17383	87228	2973
V17384	349248	6368
V17385	3210	9120
V17386	2895	5700
V17387	384	393
V17388	1521	4449
V17389	198	131
V17390	2627	7846
V17391	185	894
V17392	1705	5965
V17393	2868	5794
V17394	4615	3377
V17395	6948	21326
V17396	228	475
V17397	1799	4544
V17398	1980	5534
V17399	1538	4568
V17400	1725	4543
V17401	1665	4588
V17402	6404	12294
V17403	2569	4389
V17404	2287	6025
V17405	393689	6519
V17406	1762	3922
V17407	3066	8146
V17408	2118	7318
V17409	3269	7995
V17410	1863	5953
V17411	1168	4303
V17412	3498	7097
V17413	1676	4742
V17414	2267	6722
V17415	2336	6391
V17416	2101	6846
V17417	2111	5212
V17418	2407	5897
V17419	735	638
V17420	2048	4606
V17421	2079	5347
V17422	1095	4419
V17423	10002	55489
V17424	2073	3532
V17425	41108	2728
V17426	2183	7259
V17427	3434	5854
V17428	1947	6461
V17429	1491	3721
V17430	3297	7597
V17431	1772	6494
V17432	1601	4754
V17433	1740	4130
V17434	1847	6208
V17435	1497	3663
V17436	1051	3442
V17437	8220	23960
V17438	1231	2668
V17439	1594	6055
V17440	3882	10025
V17441	1261	3775
V17442	1418	3172
V17443	1291	3427
V17444	2777	8247
V17445	2521	5702
V17446	213128	5605
V17447	1825	3582
V17448	1702	3693
V17449	1728	4489
V17450	1949	4982
V17451	1172	3024
V17452	1360	2292
V17453	87	150
V17454	1444	4632
V17455	4232	11095
V17456	3285	10026
V17457	780	860
V17458	1806	3972
V17459	870	2828
V17460	2175	6545
V17461	1730	5251
V17462	2219	6056
V17463	226	454
V17464	1115	4151
V17465	1582	1002
V17466	2236	6890
V17467	2129	4594
V17468	2083	4970
V17469	2562	7640
V17470	1477	3427
V17471	684	4495
V17472	2525	7435
V17473	261	515
V17474	2901	7219
V17475	1562	4958
V17476	204148	5821
V17477	2286	5139
V17478	2119	6537
V17479	1548	2681
V17480	174	481
V17481	1968	3953
V17482	2194	8045
V17483	936	3429
V17484	1485	3744
V17485	13890	1691
V17486	1895	3918
V17487	2175	4293
V17488	1394	3495
V17489	2769	9492
V17490	1427	3672
V17491	16065	6373
V17492	2858	7048
V17493	1586	4903
V17494	1469	4506
V17495	2429	6185
V17496	1678	4157
V17497	1415	3292
V17498	2611	6468
V17499	359	215
V17500	1491	4335
V17501	1089	841
V17502	1789	3805
V17503	1713	4973
V17504	1824	3302
V17505	1554	4503
V17506	2037	5836
V17507	128	258
V17508	719	1066
V17509	1209	1911
V17510	1853	4973
V17511	1713	3093
V17512	221532	4703
V17513	1239	7246
V17514	1273	5484
V17515	94	4363
V17516	2486	5862
V17517	1373	4725
V17518	2384	7021
V17519	1654	3688
V17520	2430	5076
V17521	997	3376
V17522	1877	2586
V17523	132965	4760
V17524	2053	4662
V17525	1702	6068
V17526	2404	6599
V17527	680	629
V17528	1584	5044
V17529	1373	5083
V17530	162908	4361
V17531	2371	7144
V17532	2363	6385
V17533	1289	5870
V17534	287222	5952
V17535	1529	5512
V17536	1020	2822
V17537	1416	5554
V17538	1276	3814
V17539	2027	5439
V17540	1245	5103
V17541	709	3867
V17542	3110	3455
V17543	2311	4364
V17544	253	271
V17545	19275	2516
V17546	2863	6509
V17547	1155	2856
V17548	1143	3337
V17549	116	430
V17550	26	515
V17551	2404	6763
V17552	2174	6786
V17553	2071	5634
V17554	3598	8613
V17555	1794	5836
V17556	1159	5090
V17557	1733	4941
V17558	1430	5405
V17559	1487	3602
V17560	241	535
V17561	2032	6251
V17562	1429	5072
V17563	3147	7243
V17564	1762	4174
V17565	1382	3153
V17566	1546	3634
V17567	2798	5400
V17568	1802	4289
V17569	1353	4432
V17570	8095	2901
V17571	31	369
V17572	1858	5096
V17573	284752	5679
V17574	1978	4135
V17575	1050	2377
V17576	2182	5204
V17577	1561	5176
V17578	1561	4574
V17579	2621	8744
V17580	4294	10400
V17581	2623	6659
V17582	1719	5118
V17583	457	1079
V17584	1784	4542
V17585	380431	7317
V17586	2975	9550
V17587	1627	3692
V17588	61	501
V17589	48970	2824
V17590	137	253
V17591	1628	5114
V17592	1352	4478
V17593	1516	2783
V17594	1582	2974
V17595	2318	6737
V17596	1663	4879
V17597	1454	4142
V17598	2798	4582
V17599	70	375
V17600	78	214
V17601	969	3602
V17602	1700	5867
V17603	17156	5111
V17604	1932	5574
V17605	2182	4165
V17606	972	4163
V17607	890	370
V17608	2248	5068
V17609	29840	2140
V17610	1277	3191
V17611	1335	9031
V17612	2273	6710
V17613	1606	3709
V17614	1533	4002
V17615	1480	2431
V17616	1009	3991
V17617	1432	4565
V17618	3356	10420
V17619	8247	5628
V17620	3749	3105
V17621	3123	7588
V17622	767	717
V17623	2646	6267
V17624	973	2719
V17625	1186	3653
V17626	1236	3903
V17627	722	3340
V17628	1362	4847
V17629	2099	2117
V17630	167	329
V17631	1933	6102
V17632	1187	3726
V17633	115	917
V17634	1414	3962
V17635	1493	4355
V17636	7944	35911
V17637	1330	5075
V17638	1400	5210
V17639	2139	6478
V17640	1912	4957
V17641	12557	4503
V17642	2124	3917
V17643	2206	7909
V17644	2437	6299
V17645	2201	4820
V17646	2035	4449
V17647	1356	3269
V17648	1457	4054
V17649	490333	7562
V17650	4671	10032
V17651	6231	16040
V17652	1930	6506
V17653	2328	4451
V17654	1238	3166
V17655	1311	4797
V17656	2007	4786
V17657	1984	6147
V17658	950	3326
V17659	2376	6343
V17660	34625	2224
V17661	1063	274
V17662	1848	3577
V17663	43903	4449
V17664	3109	6940
V17665	1661	4501
V17666	2545	5481
V17667	2575	6734
V17668	528	437
V17669	3080	8613
V17670	2005	7230
V17671	3252	6174
V17672	1024	3406
V17673	1673	3684
V17674	16393	4990
V17675	1751	4649
V17676	3005	7911
V17677	1904	6337
V17678	1308	4690
V17679	2790	7876
V17680	3004	6351
V17681	1510	4144
V17682	1223	2513
V17683	1367	5582
V17684	1557	3463
V17685	226320	3861
V17686	1833	6451
V17687	406	565
V17688	1654	6261
V17689	360	393
V17690	1997	4681
V17691	80434	2023
V17692	184	330
V17693	1114	4777
V17694	223	173
V17695	2231	6034
V17696	2625	6594
V17697	2185	6425
V17698	15594	1579
V17699	2213	5808
V17700	1285	3955
V17701	2954	3915
V17702	1744	3927
V17703	2360	5330
V17704	2217	5724
V17705	2610	6441
V17706	1636	4677
V17707	2419	2852
V17708	1729	3833
V17709	1677	5201
V17710	3224	7072
V17711	105	533
V17712	1770	4507
V17713	928	2927
V17714	4271	3781
V17715	1934	5750
V17716	1673	5250
V17717	2171	6736
V17718	1628	4814
V17719	250810	5560
V17720	1842	4811
V17721	1360	4979
V17722	2600	4854
V17723	2069	6495
V17724	1956	5452
V17725	1457	5027
V17726	2444	6073
V17727	5634	2206
V17728	2926	4913
V17729	872	2991
V17730	2261	4221
V17731	1960	5813
V17732	3986	6474
V17733	1366	3855
V17734	356	1104
V17735	1393	3422
V17736	1756	5630
V17737	1117	2737
V17738	1997	4847
V17739	1662	4462
V17740	1788	8970
V17741	1459	3801
V17742	23046	1074
V17743	21782	3000
V17744	3954	2253
V17745	1093	3004
V17746	1704	5472
V17747	5754	13142
V17748	2439	6089
V17749	2135	6505
V17750	1445	4165
V17751	9662	2163
V17752	2038	5320
V17753	1603	4562
V17754	51	94
V17755	27543	4907
V17756	8396	1724
V17757	2097	5472
V17758	4410	8410
V17759	2072	4577
V17760	656	11570
V17761	124	263
V17762	2896	8576
V17763	1885	6599
V17764	3605	8725
V17765	1835	5192
V17766	1560	1868
V17767	1311	3301
V17768	1415	5574
V17769	2523	8532
V17770	1488	3121
V17771	5334	4178
V17772	429	247
V17773	4826	12008
V17774	2077	5265
V17775	13780	2965
V17776	2112	6666
V17777	1801	5848
V17778	1702	6156
V17779	1266	4216
V17780	1631	4077
V17781	1296	4656
V17782	3811	8421
V17783	1268	4283
V17784	1506	4343
V17785	1515	5304
V17786	423	107
V17787	1688	4422
V17788	1613	5718
V17789	1686	5345
V17790	1353	4187
V17791	745	5004
V17792	196127	4759
V17793	713750	16440
V17794	1908	5481
V17795	1735	5474
V17796	1636	5339
V17797	2382	6015
V17798	515	1422
V17799	1578	4832
V17800	1635	3732
V17801	633	665
V17802	124	101
V17803	4358	11372
V17804	2324	4628
V17805	1626	5805
V17806	138827	5323
V17807	1359	4962
V17808	1380	7153
V17809	2662	5341
V17810	1694	3765
V17811	291294	5298
V17812	3463	7969
V17813	1960	5221
V17814	6213	16381
V17815	1772	5363
V17816	2015	5043
V17817	1753	5974
V17818	2460	6365
V17819	2009	5095
V17820	5541	10154
V17821	3371	6030
V17822	242295	6858
V17823	2968	7705
V17824	2177	4407
V17825	1646	3161
V17826	1346	3762
V17827	1834	5432
V17828	1525	2579
V17829	3924	11363
V17830	1750	4169
V17831	1383	3377
V17832	1794	6034
V17833	7640	4748
V17834	2232	5281
V17835	1445	4854
V17836	1535	5028
V17837	1203	3801
V17838	1216	3374
V17839	1788	4250
V17840	1599	4409
V17841	2514	6803
V17842	1338	4598
V17843	1232	3170
V17844	3329	8864
V17845	144	808
V17846	2055	5900
V17847	1590	4365
V17848	1503	6002
V17849	2559	6374
V17850	3670	8712
V17851	1099	4064
V17852	1491	4059
V17853	1612	4673
V17854	1927	4319
V17855	2177	5443
V17856	1450	3650
V17857	1183	3464
V17858	1133	7062
V17859	3002	3141
V17860	1590	3927
V17861	3080	1889
V17862	1985	2217
V17863	1358	3212
V17864	2140	5948
V17865	870	3451
V17866	327	255
V17867	1637	3911
V17868	5719	13850
V17869	92916	2823
V17870	1009	427
V17871	1669	4880
V17872	1178	2094
V17873	199742	6842
V17874	2453	6782
V17875	1638	4062
V17876	1923	5249
V17877	114685	3136
V17878	4906	5330
V17879	20100	2291
V17880	2904	5594
